simulation,month,alive,deaths,births,males,females,mature,pregnant
1,75,26357,6448,6680,13292,13065,6104,1471
1,76,26589,6529,6048,13348,13241,5950,1340
1,77,26108,6408,5926,13147,12961,5933,1335
1,78,25626,6164,5979,12925,12701,5844,1321
1,79,25441,6050,5894,12819,12622,5836,1295
1,80,25285,6175,6494,12813,12472,5893,1448
1,81,25604,6282,6232,13003,12601,5968,1380
1,82,25554,6370,6126,12951,12603,5906,1363
1,83,25310,6154,5833,12847,12463,5667,1284
1,84,24989,6042,6034,12704,12285,5666,1331
1,85,24981,6139,5990,12699,12282,5677,1324
1,86,24832,6058,5857,12521,12311,5657,1302
1,87,24631,5800,5857,12363,12268,5615,1290
1,88,24688,5965,5826,12359,12329,5731,1307
1,89,24549,5874,5955,12327,12222,5703,1323
1,90,24630,6088,6117,12345,12285,5686,1353
1,91,24659,5992,6138,12415,12244,5577,1364
1,92,24805,6103,5902,12473,12332,5524,1310
1,93,24604,5867,5875,12382,12222,5475,1294
1,94,24612,6093,5742,12319,12293,5505,1267
1,95,24261,5986,5598,12124,12137,5370,1239
1,96,23873,5785,5637,11895,11978,5307,1270
1,97,23725,5654,5570,11828,11897,5410,1242
1,98,23641,5756,5608,11847,11794,5477,1265
1,99,23493,5671,5585,11806,11687,5508,1238
1,100,23407,5592,5947,11710,11697,5528,1312
1,101,23762,5746,5726,11917,11845,5455,1261
1,102,23742,5936,5778,11921,11821,5428,1290
1,103,23584,5675,5930,11790,11794,5285,1316
1,104,23839,5791,5488,11981,11858,5235,1226
1,105,23536,5729,5583,11876,11660,5140,1239
1,106,23390,5581,5616,11763,11627,5166,1240
1,107,23425,5631,5610,11731,11694,5289,1237
1,108,23404,5756,5635,11707,11697,5302,1257
1,109,23283,5672,5594,11690,11593,5332,1241
1,110,23205,5702,5407,11682,11523,5208,1187
1,111,22910,5614,5721,11532,11378,5186,1279
1,112,23017,5584,5534,11592,11425,5118,1235
1,113,22967,5512,5409,11588,11379,5145,1211
1,114,22864,5578,5541,11608,11256,5144,1216
1,115,22827,5512,5525,11550,11277,5169,1245
1,116,22840,5632,5334,11556,11284,5123,1181
1,117,22542,5533,5417,11414,11128,5069,1188
1,118,22426,5319,5232,11340,11086,5068,1161
1,119,22339,5547,5290,11320,11019,5074,1174
1,120,22082,5421,5640,11204,10878,5001,1235
1,121,22301,5407,5259,11290,11011,5003,1157
1,122,22153,5313,5095,11161,10992,4916,1135
1,123,21935,5339,5137,11015,10920,4952,1132
1,124,21733,5384,5494,10905,10828,4957,1228
1,125,21843,5355,5259,11021,10822,4856,1162
1,126,21747,5387,5311,10915,10832,4889,1177
1,127,21671,5336,5045,10879,10792,4838,1115
1,128,21380,5174,5049,10733,10647,4741,1124
1,129,21255,5115,5286,10709,10546,4785,1164
1,130,21426,5256,5108,10790,10636,4822,1128
1,131,21278,5198,4865,10681,10597,4799,1087
1,132,20945,5114,4994,10532,10413,4766,1121
1,133,20825,5113,5198,10429,10396,4760,1146
1,134,20910,5125,5023,10519,10391,4669,1113
1,135,20808,5144,4729,10462,10346,4656,1053
1,136,20393,4904,4976,10249,10144,4634,1109
1,137,20465,5055,4898,10343,10122,4652,1100
1,138,20308,4976,4634,10193,10115,4611,1047
1,139,19966,4825,4624,10023,9943,4618,1032
1,140,19765,4870,4627,9910,9855,4595,1036
1,141,19522,4802,4670,9710,9812,4517,1044
1,142,19390,4835,4839,9671,9719,4486,1068
1,143,19394,4642,4579,9581,9813,4441,1014
1,144,19331,4769,4657,9644,9687,4371,1023
1,145,19219,4607,4620,9592,9627,4326,1022
1,146,19232,4652,4646,9521,9711,4263,1038
1,147,19226,4707,4203,9506,9720,4242,937
1,148,18722,4580,4338,9196,9526,4290,961
1,149,18480,4504,4181,9107,9373,4198,925
1,150,18157,4503,4258,8962,9195,4137,938
1,151,17912,4428,4118,8924,8988,4156,921
1,152,17602,4277,4316,8773,8829,4144,965
1,153,17641,4294,4365,8905,8736,4133,959
1,154,17712,4316,4408,8906,8806,4061,963
1,155,17804,4320,4114,8961,8843,4000,914
1,156,17598,4236,4196,8871,8727,3947,941
1,157,17558,4339,4157,8835,8723,3927,925
1,158,17376,4210,4381,8724,8652,3922,976
1,159,17547,4298,4404,8802,8745,3950,985
1,160,17653,4215,4163,8823,8830,3955,918
1,161,17601,4268,4128,8832,8769,3889,920
1,162,17461,4220,4267,8755,8706,3889,936
1,163,17508,4216,4047,8817,8691,3840,890
1,164,17339,4322,4108,8698,8641,3905,901
1,165,17125,4111,4476,8545,8580,3958,995
1,166,17490,4216,4253,8694,8796,3940,947
1,167,17527,4197,4354,8751,8776,3887,957
1,168,17684,4246,4283,8837,8847,3863,957
1,169,17721,4316,4117,8964,8757,3902,908
1,170,17522,4282,3965,8887,8635,3866,880
1,171,17205,4237,4062,8669,8536,3860,907
1,172,17030,4159,4115,8542,8488,3804,911
1,173,16986,4139,4101,8480,8506,3819,917
1,174,16948,4144,4063,8480,8468,3855,923
1,175,16867,4138,3960,8372,8495,3820,874
1,176,16689,4032,4041,8351,8338,3710,895
1,177,16698,4042,3940,8318,8380,3731,876
1,178,16596,3992,3950,8234,8362,3747,877
1,179,16554,4076,4007,8171,8383,3753,901
1,180,16485,4054,3759,8177,8308,3746,833
1,181,16190,3893,4089,8051,8139,3748,904
1,182,16386,4023,3947,8162,8224,3720,873
1,183,16310,3933,3878,8238,8072,3655,866
1,184,16255,3960,3823,8197,8058,3666,845
1,185,16118,3889,3851,8059,8059,3616,854
1,186,16080,3908,3721,7988,8092,3595,819
1,187,15893,3909,3708,7900,7993,3623,826
1,188,15692,3764,3940,7713,7979,3607,883
1,189,15868,3850,3696,7878,7990,3623,824
1,190,15714,3751,3781,7780,7934,3622,840
1,191,15744,3853,3829,7825,7919,3636,860
1,192,15720,3875,3712,7834,7886,3502,829
1,193,15557,3852,3517,7764,7793,3481,786
1,194,15222,3729,3559,7603,7619,3500,799
1,195,15052,3608,3718,7498,7554,3468,826
1,196,15162,3653,3734,7536,7626,3521,829
1,197,15243,3678,3659,7570,7673,3488,815
1,198,15224,3733,3646,7550,7674,3445,807
1,199,15137,3613,3710,7464,7673,3439,814
1,200,15234,3710,3636,7592,7642,3452,821
1,201,15160,3745,3460,7540,7620,3406,775
1,202,14875,3618,3618,7504,7371,3421,805
1,203,14875,3675,3571,7522,7353,3367,788
1,204,14771,3569,3659,7485,7286,3424,810
1,205,14861,3568,3570,7475,7386,3377,786
1,206,14863,3672,3441,7487,7376,3384,780
1,207,14632,3512,3566,7406,7226,3239,784
1,208,14686,3548,3325,7458,7228,3235,748
1,209,14463,3557,3651,7319,7144,3284,811
1,210,14557,3571,3568,7335,7222,3272,798
1,211,14554,3435,3487,7324,7230,3263,771
1,212,14606,3500,3526,7316,7290,3220,794
1,213,14632,3568,3620,7377,7255,3230,806
1,214,14684,3440,3593,7408,7276,3218,809
1,215,14837,3689,3391,7456,7381,3246,750
1,216,14539,3476,3631,7275,7264,3280,815
1,217,14694,3522,3621,7335,7359,3243,798
1,218,14793,3681,3604,7380,7413,3280,790
1,219,14716,3621,3592,7325,7391,3259,789
1,220,14687,3565,3411,7336,7351,3206,760
1,221,14533,3561,3386,7347,7186,3287,761
1,222,14358,3482,3604,7225,7133,3248,783
1,223,14480,3535,3406,7230,7250,3237,753
1,224,14351,3488,3305,7134,7217,3315,740
1,225,14168,3508,3490,7044,7124,3291,782
1,226,14150,3516,3496,7029,7121,3203,777
1,227,14130,3438,3215,7079,7051,3142,716
1,228,13907,3432,3278,6910,6997,3177,732
1,229,13753,3411,3298,6842,6911,3115,741
1,230,13640,3302,3276,6792,6848,3112,734
1,231,13614,3354,3369,6824,6790,3156,743
1,232,13629,3288,3275,6847,6782,3126,727
1,233,13616,3303,3128,6880,6736,3045,688
1,234,13441,3328,3153,6732,6709,3019,714
1,235,13266,3225,3171,6588,6678,3020,709
1,236,13212,3225,3169,6572,6640,3026,707
1,237,13156,3169,3249,6476,6680,3007,717
1,238,13236,3157,3137,6517,6719,3046,699
1,239,13216,3306,3187,6472,6744,3020,706
1,240,13097,3214,3152,6414,6683,2977,709
1,241,13035,3279,2990,6398,6637,2935,660
1,242,12746,3071,2957,6236,6510,2820,662
1,243,12632,3073,3186,6239,6393,2857,706
1,244,12745,3044,3049,6322,6423,2875,679
1,245,12750,3097,2902,6369,6381,2914,638
1,246,12555,3135,2993,6218,6337,2845,661
1,247,12413,2971,2720,6154,6259,2780,607
1,248,12162,2916,2971,6035,6127,2827,651
1,249,12217,2942,2959,6084,6133,2851,669
1,250,12234,2925,3056,6148,6086,2795,684
1,251,12365,3068,3118,6233,6132,2780,685
1,252,12415,2926,2643,6242,6173,2767,593
1,253,12132,2933,2909,6095,6037,2731,652
1,254,12108,2943,3055,6056,6052,2749,686
1,255,12220,2872,3008,6134,6086,2778,667
1,256,12356,3049,2952,6231,6125,2804,662
1,257,12259,3040,2922,6166,6093,2775,645
1,258,12141,2995,2648,6096,6045,2671,594
1,259,11794,2890,2617,5968,5826,2585,590
1,260,11521,2797,2630,5800,5721,2583,581
1,261,11354,2743,2704,5746,5608,2617,600
1,262,11315,2791,2869,5742,5573,2611,635
1,263,11393,2711,2724,5707,5686,2616,608
1,264,11406,2816,2840,5743,5663,2607,631
1,265,11430,2799,2686,5769,5661,2601,609
1,266,11317,2795,2710,5708,5609,2511,607
1,267,11232,2728,2606,5656,5576,2443,582
1,268,11110,2724,2856,5561,5549,2487,631
1,269,11242,2715,2811,5685,5557,2483,625
1,270,11338,2718,2757,5711,5627,2514,618
1,271,11377,2871,2652,5741,5636,2444,591
1,272,11158,2761,2591,5610,5548,2489,574
1,273,10988,2584,2548,5513,5475,2469,581
1,274,10952,2592,2696,5525,5427,2573,597
1,275,11056,2662,2871,5595,5461,2584,632
1,276,11265,2749,2682,5611,5654,2569,601
1,277,11198,2679,2629,5564,5634,2488,582
1,278,11148,2696,2670,5520,5628,2499,596
1,279,11122,2811,2544,5489,5633,2447,556
1,280,10855,2612,2354,5390,5465,2410,528
1,281,10597,2642,2520,5267,5330,2460,551
1,282,10475,2482,2524,5216,5259,2442,552
1,283,10517,2554,2488,5185,5332,2435,549
1,284,10451,2520,2589,5176,5275,2442,569
1,285,10520,2655,2448,5155,5365,2449,543
1,286,10313,2598,2539,5141,5172,2380,565
1,287,10254,2460,2455,5114,5140,2336,549
1,288,10249,2532,2402,5138,5111,2327,535
1,289,10119,2421,2172,5051,5068,2280,486
1,290,9870,2378,2339,4939,4931,2275,524
1,291,9831,2433,2383,4921,4910,2262,530
1,292,9781,2429,2454,4870,4911,2242,537
1,293,9806,2326,2404,4927,4879,2258,539
1,294,9884,2418,2374,5006,4878,2265,532
1,295,9840,2425,2427,4929,4911,2211,537
1,296,9842,2437,2263,4922,4920,2196,501
1,297,9668,2427,2176,4873,4795,2111,495
1,298,9417,2288,2366,4756,4661,2115,516
1,299,9495,2330,2329,4778,4717,2186,516
1,300,9494,2284,2319,4787,4707,2171,512
1,301,9529,2287,2275,4764,4765,2201,508
1,302,9517,2321,2456,4791,4726,2162,550
1,303,9652,2369,2417,4895,4757,2136,538
1,304,9700,2348,2364,4886,4814,2142,518
1,305,9716,2403,2317,4913,4803,2143,511
1,306,9630,2336,2085,4829,4801,2090,467
1,307,9379,2349,2240,4677,4702,2092,500
1,308,9270,2255,2379,4627,4643,2094,524
1,309,9394,2355,2126,4748,4646,2121,476
1,310,9165,2306,2281,4594,4571,2129,506
1,311,9140,2197,2080,4563,4577,2099,464
1,312,9023,2271,2080,4573,4450,2034,458
1,313,8832,2183,2101,4459,4373,2032,474
1,314,8750,2138,2230,4476,4274,1995,491
1,315,8842,2102,2102,4502,4340,1959,466
1,316,8842,2189,2204,4486,4356,2031,480
1,317,8857,2100,2264,4487,4370,2003,503
1,318,9021,2206,2258,4544,4477,2015,497
1,319,9073,2168,2125,4548,4525,1958,472
1,320,9030,2213,2093,4515,4515,1945,464
1,321,8910,2207,2115,4450,4460,1942,464
1,322,8818,2055,2048,4395,4423,1941,455
1,323,8811,2230,2116,4391,4420,1996,473
1,324,8697,2118,2140,4290,4407,1966,469
1,325,8719,2201,2073,4302,4417,1974,463
1,326,8591,2082,2065,4283,4308,1967,449
1,327,8574,2087,2069,4279,4295,1945,457
1,328,8556,2096,2033,4247,4309,1907,448
1,329,8493,2076,1920,4202,4291,1873,426
1,330,8337,2055,2035,4118,4219,1867,454
1,331,8317,2019,2080,4096,4221,1890,453
1,332,8378,2061,1913,4088,4290,1895,424
1,333,8230,1982,2001,4062,4168,1880,436
1,334,8249,1941,1768,4079,4170,1874,407
1,335,8076,1939,1830,3978,4098,1826,412
1,336,7967,1934,1839,3938,4029,1819,412
1,337,7872,1953,1866,3884,3988,1855,418
1,338,7785,1880,1999,3853,3932,1866,438
1,339,7904,1895,1836,3920,3984,1846,411
1,340,7845,1916,1754,3835,4010,1799,395
1,341,7683,1845,1788,3801,3882,1775,398
1,342,7626,1938,1853,3793,3833,1728,413
1,343,7541,1839,1729,3766,3775,1673,384
1,344,7431,1858,1690,3693,3738,1693,374
1,345,7263,1774,1773,3620,3643,1726,387
1,346,7262,1704,1646,3612,3650,1648,380
1,347,7204,1806,1898,3605,3599,1641,415
1,348,7296,1795,1747,3680,3616,1627,395
1,349,7248,1709,1603,3662,3586,1584,354
1,350,7142,1731,1746,3614,3528,1630,383
1,351,7157,1769,1869,3597,3560,1577,410
1,352,7257,1811,1765,3642,3615,1580,392
1,353,7211,1729,1740,3605,3606,1589,384
1,354,7222,1786,1732,3592,3630,1642,389
1,355,7168,1723,1646,3588,3580,1610,365
1,356,7091,1707,1776,3548,3543,1589,398
1,357,7160,1779,1671,3592,3568,1620,377
1,358,7052,1720,1591,3547,3505,1589,364
1,359,6923,1676,1607,3420,3503,1597,353
1,360,6854,1653,1588,3411,3443,1622,356
1,361,6789,1641,1779,3395,3394,1586,389
1,362,6927,1633,1717,3511,3416,1594,375
1,363,7011,1677,1681,3549,3462,1576,372
1,364,7015,1683,1717,3514,3501,1553,386
1,365,7049,1699,1600,3585,3464,1571,358
1,366,6950,1653,1695,3513,3437,1517,375
1,367,6992,1777,1615,3553,3439,1517,371
1,368,6830,1613,1681,3497,3333,1520,369
1,369,6898,1709,1703,3480,3418,1549,373
1,370,6892,1667,1675,3484,3408,1572,380
1,371,6900,1681,1702,3516,3384,1594,381
1,372,6921,1686,1720,3489,3432,1579,378
1,373,6955,1715,1685,3561,3394,1554,371
1,374,6925,1652,1612,3534,3391,1502,356
1,375,6885,1752,1476,3492,3393,1495,330
1,376,6609,1643,1623,3354,3255,1476,361
1,377,6589,1575,1661,3350,3239,1499,357
1,378,6675,1557,1654,3347,3328,1487,370
1,379,6772,1722,1610,3399,3373,1481,346
1,380,6660,1629,1561,3320,3340,1503,346
1,381,6592,1610,1460,3321,3271,1430,330
1,382,6442,1574,1503,3253,3189,1431,334
1,383,6371,1551,1410,3191,3180,1478,313
1,384,6230,1566,1575,3117,3113,1476,346
1,385,6239,1521,1450,3072,3167,1449,319
1,386,6168,1474,1527,3047,3121,1443,333
1,387,6221,1510,1475,3107,3114,1432,329
1,388,6186,1506,1405,3102,3084,1422,315
1,389,6085,1522,1552,3089,2996,1402,333
1,390,6115,1465,1456,3108,3007,1380,323
1,391,6106,1431,1366,3096,3010,1370,302
1,392,6041,1459,1398,3057,2984,1396,317
1,393,5980,1466,1440,2989,2991,1394,316
1,394,5954,1405,1564,3039,2915,1394,347
1,395,6113,1509,1410,3096,3017,1399,319
1,396,6014,1463,1342,2990,3024,1416,304
1,397,5893,1446,1436,2946,2947,1366,317
1,398,5883,1449,1460,2927,2956,1351,321
1,399,5894,1444,1357,2903,2991,1326,302
1,400,5807,1428,1506,2862,2945,1315,339
1,401,5885,1414,1407,2867,3018,1345,313
1,402,5878,1459,1371,2878,3000,1311,308
1,403,5790,1412,1355,2857,2933,1312,303
1,404,5733,1342,1307,2843,2890,1301,292
1,405,5698,1405,1190,2840,2858,1263,267
1,406,5483,1307,1255,2748,2735,1257,264
1,407,5431,1334,1300,2718,2713,1295,289
1,408,5397,1370,1326,2678,2719,1310,292
1,409,5353,1295,1371,2665,2688,1285,305
1,410,5429,1245,1244,2692,2737,1249,270
1,411,5428,1368,1409,2675,2753,1229,312
1,412,5469,1327,1335,2746,2723,1218,298
1,413,5477,1366,1397,2806,2671,1212,312
1,414,5508,1337,1254,2803,2705,1202,281
1,415,5425,1340,1204,2695,2730,1143,263
1,416,5289,1273,1276,2654,2635,1174,286
1,417,5292,1301,1297,2662,2630,1175,289
1,418,5288,1264,1289,2671,2617,1224,290
1,419,5313,1304,1361,2684,2629,1292,298
1,420,5370,1319,1439,2693,2677,1254,320
1,421,5490,1350,1343,2768,2722,1215,301
1,422,5483,1317,1269,2769,2714,1154,282
1,423,5435,1330,1332,2776,2659,1164,295
1,424,5437,1296,1286,2781,2656,1172,293
1,425,5427,1286,1330,2721,2706,1170,295
1,426,5471,1336,1269,2741,2730,1195,271
1,427,5404,1392,1266,2742,2662,1202,285
1,428,5278,1275,1349,2643,2635,1175,300
1,429,5352,1319,1447,2675,2677,1204,322
1,430,5480,1305,1383,2777,2703,1189,302
1,431,5558,1355,1239,2800,2758,1218,275
1,432,5442,1350,1330,2721,2721,1193,290
1,433,5422,1330,1337,2737,2685,1203,298
1,434,5429,1305,1329,2760,2669,1190,297
1,435,5453,1357,1308,2752,2701,1227,292
1,436,5404,1265,1273,2709,2695,1197,279
1,437,5412,1367,1277,2745,2667,1231,287
1,438,5322,1322,1358,2715,2607,1240,294
1,439,5358,1304,1319,2744,2614,1224,290
1,440,5373,1282,1381,2719,2654,1221,303
1,441,5472,1364,1390,2771,2701,1230,309
1,442,5498,1422,1282,2723,2775,1195,285
1,443,5358,1301,1192,2627,2731,1180,266
1,444,5249,1304,1267,2581,2668,1184,275
1,445,5212,1290,1258,2564,2648,1136,282
1,446,5180,1241,1158,2582,2598,1151,261
1,447,5097,1317,1230,2547,2550,1159,282
1,448,5010,1258,1147,2463,2547,1147,261
1,449,4899,1177,1193,2437,2462,1123,264
1,450,4915,1284,1171,2472,2443,1095,263
1,451,4802,1198,1154,2369,2433,1095,255
1,452,4758,1257,1044,2358,2400,1038,233
1,453,4545,1150,977,2229,2316,1010,216
1,454,4372,1077,1032,2128,2244,990,234
1,455,4327,1073,974,2113,2214,979,219
1,456,4228,1051,999,2095,2133,955,228
1,457,4176,1038,1031,2115,2061,974,227
1,458,4169,998,1008,2095,2074,968,220
1,459,4179,1017,1106,2106,2073,986,240
1,460,4268,1054,972,2123,2145,928,218
1,461,4186,1013,943,2090,2096,910,209
1,462,4116,962,771,2017,2099,899,177
1,463,3925,974,907,1927,1998,924,205
1,464,3858,901,1015,1886,1972,930,225
1,465,3972,964,1020,1946,2026,976,229
1,466,4028,956,972,1983,2045,965,212
1,467,4044,993,1015,1952,2092,957,230
1,468,4066,961,1034,1956,2110,896,224
1,469,4139,1030,916,2031,2108,879,202
1,470,4025,995,874,1964,2061,884,192
1,471,3904,964,855,1904,2000,909,189
1,472,3795,967,975,1848,1947,919,217
1,473,3803,944,958,1833,1970,914,213
1,474,3817,955,979,1883,1934,917,224
1,475,3841,947,837,1910,1931,848,187
1,476,3731,924,800,1840,1891,816,173
1,477,3607,860,872,1799,1808,782,186
1,478,3619,910,881,1805,1814,814,200
1,479,3590,884,793,1774,1816,794,177
1,480,3499,884,896,1735,1764,796,202
1,481,3511,862,834,1759,1752,790,187
1,482,3483,861,804,1755,1728,781,184
1,483,3426,826,721,1734,1692,755,161
1,484,3321,849,832,1689,1632,789,180
1,485,3304,822,820,1689,1615,772,181
1,486,3302,811,807,1663,1639,776,179
1,487,3298,806,801,1629,1669,736,173
1,488,3293,803,816,1663,1630,735,181
1,489,3306,837,789,1654,1652,728,173
1,490,3258,792,730,1640,1618,696,161
1,491,3196,811,733,1598,1598,727,169
1,492,3118,739,870,1578,1540,740,193
1,493,3249,836,775,1669,1580,736,173
1,494,3188,779,749,1640,1548,680,165
1,495,3158,740,716,1615,1543,685,158
1,496,3134,772,750,1597,1537,697,166
1,497,3112,777,765,1584,1528,694,170
1,498,3100,790,852,1582,1518,718,194
1,499,3162,763,704,1647,1515,692,160
1,500,3103,760,749,1617,1486,697,174
1,501,3092,761,707,1602,1490,650,156
1,502,3038,736,761,1576,1462,672,170
1,503,3063,768,762,1547,1516,693,167
1,504,3057,707,813,1540,1517,693,176
1,505,3163,788,728,1584,1579,689,163
1,506,3103,738,788,1548,1555,697,178
1,507,3153,750,720,1580,1573,682,166
1,508,3123,773,799,1560,1563,685,175
1,509,3149,765,710,1562,1587,684,154
1,510,3094,789,697,1535,1559,703,158
1,511,3002,766,809,1510,1492,694,179
1,512,3045,757,666,1543,1502,678,152
1,513,2954,735,719,1482,1472,659,160
1,514,2938,711,729,1477,1461,676,164
1,515,2956,708,642,1486,1470,689,147
1,516,2890,699,644,1470,1420,674,146
1,517,2835,706,722,1428,1407,703,157
1,518,2851,683,587,1411,1440,667,137
1,519,2755,658,708,1432,1323,668,158
1,520,2805,695,716,1454,1351,660,163
1,521,2826,693,611,1428,1398,639,136
1,522,2744,699,726,1396,1348,625,160
1,523,2771,686,683,1380,1391,589,156
1,524,2768,679,588,1349,1419,577,131
1,525,2677,615,538,1336,1341,598,121
1,526,2600,600,614,1322,1278,624,136
1,527,2614,670,596,1331,1283,596,132
1,528,2540,607,533,1257,1283,589,124
1,529,2466,623,623,1228,1238,585,139
1,530,2466,593,565,1215,1251,584,124
1,531,2438,628,639,1202,1236,574,141
1,532,2449,593,602,1218,1231,561,137
1,533,2458,609,550,1227,1231,557,123
1,534,2399,583,576,1187,1212,535,128
1,535,2392,579,489,1214,1178,529,110
1,536,2302,590,469,1154,1148,512,103
1,537,2181,564,430,1088,1093,535,99
1,538,2047,492,555,1047,1000,518,123
1,539,2110,492,493,1067,1043,516,109
1,540,2111,480,494,1076,1035,510,111
1,541,2125,501,549,1104,1021,523,122
1,542,2173,523,565,1117,1056,495,122
1,543,2215,559,518,1139,1076,461,113
1,544,2174,522,528,1110,1064,462,116
1,545,2180,497,583,1110,1070,485,129
1,546,2266,572,531,1147,1119,499,115
1,547,2225,536,489,1113,1112,485,104
1,548,2178,528,517,1064,1114,501,117
1,549,2167,520,415,1076,1091,493,96
1,550,2062,531,527,1023,1039,491,116
1,551,2058,508,496,1041,1017,493,110
1,552,2046,501,513,1025,1021,482,116
1,553,2058,481,474,1019,1039,459,108
1,554,2051,493,487,1018,1033,458,108
1,555,2045,484,482,1014,1031,447,104
1,556,2043,529,525,1017,1026,474,120
1,557,2039,467,490,1011,1028,479,108
1,558,2062,481,443,1035,1027,473,100
1,559,2024,502,511,1022,1002,464,111
1,560,2033,545,507,1037,996,453,113
1,561,1995,474,432,1019,976,443,97
1,562,1953,430,500,1010,943,449,109
1,563,2023,502,499,1043,980,464,110
1,564,2020,478,441,1028,992,432,99
1,565,1983,491,427,987,996,457,95
1,566,1919,458,454,920,999,453,97
1,567,1915,478,413,941,974,449,93
1,568,1850,456,477,928,922,452,99
1,569,1871,484,471,918,953,446,102
1,570,1858,428,423,919,939,422,96
1,571,1853,427,389,902,951,411,87
1,572,1815,438,503,888,927,443,116
1,573,1880,467,456,907,973,420,101
1,574,1869,463,424,893,976,432,97
1,575,1830,444,459,865,965,442,100
1,576,1845,453,447,875,970,410,98
1,577,1839,440,389,865,974,399,85
1,578,1788,427,421,870,918,421,90
1,579,1782,432,391,868,914,418,86
1,580,1741,443,406,861,880,406,86
1,581,1704,409,413,826,878,405,93
1,582,1708,446,371,831,877,387,86
1,583,1633,385,329,796,837,377,76
1,584,1577,366,419,786,791,396,97
1,585,1630,407,444,804,826,420,97
1,586,1667,390,386,828,839,412,90
1,587,1663,387,381,811,852,400,89
1,588,1657,397,375,820,837,393,85
1,589,1635,387,399,807,828,389,90
1,590,1647,421,359,826,821,378,83
1,591,1585,416,414,771,814,387,90
1,592,1583,382,386,783,800,384,85
1,593,1587,357,317,770,817,361,75
1,594,1547,372,356,747,800,355,82
